"No employment, High income",Age Violation,Inconsistent Loan Pct,Credit History Violation
0,699.0,7.0,27.0
7,746.0,10.0,103.0
9,3072.0,15.0,111.0
20,8222.0,32.0,114.0
38,12638.0,37.0,157.0
70,15921.0,38.0,176.0
75,16378.0,62.0,243.0
78,17542.0,68.0,247.0
83,17861.0,69.0,272.0
87,18293.0,73.0,279.0
91,18783.0,81.0,287.0
93,20615.0,90.0,448.0
99,24214.0,94.0,473.0
108,26125.0,98.0,503.0
112,32236.0,101.0,520.0
113,33012.0,107.0,534.0
133,34852.0,109.0,557.0
139,41079.0,120.0,642.0
146,41912.0,137.0,656.0
165,43518.0,141.0,661.0
185,48118.0,154.0,710.0
187,48185.0,162.0,712.0
192,48915.0,175.0,719.0
199,49252.0,181.0,767.0
204,52038.0,186.0,801.0
213,53992.0,193.0,841.0
215,56176.0,201.0,930.0
216,58602.0,217.0,956.0
224,,229.0,1000.0
232,,239.0,1045.0
246,,270.0,1085.0
263,,284.0,1180.0
287,,307.0,1195.0
294,,312.0,1379.0
299,,324.0,1401.0
306,,326.0,1422.0
307,,327.0,1453.0
308,,339.0,1509.0
311,,353.0,1523.0
344,,362.0,1597.0
347,,363.0,1607.0
363,,379.0,1609.0
364,,385.0,1686.0
375,,394.0,1707.0
378,,409.0,1717.0
384,,425.0,1724.0
391,,439.0,1825.0
396,,442.0,1847.0
404,,452.0,2023.0
407,,459.0,2040.0
411,,470.0,2054.0
417,,482.0,2056.0
419,,502.0,2062.0
423,,505.0,2076.0
430,,508.0,2133.0
432,,517.0,2178.0
439,,519.0,2202.0
443,,525.0,2204.0
480,,529.0,2214.0
487,,542.0,2224.0
490,,556.0,2249.0
493,,561.0,2255.0
508,,572.0,2256.0
514,,574.0,2331.0
515,,604.0,2352.0
526,,605.0,2475.0
559,,606.0,2500.0
562,,621.0,2694.0
565,,633.0,2726.0
568,,652.0,2760.0
580,,654.0,2772.0
585,,674.0,2774.0
590,,695.0,2782.0
602,,696.0,2795.0
603,,698.0,2937.0
606,,699.0,2993.0
633,,707.0,3002.0
640,,710.0,3023.0
652,,729.0,3036.0
653,,743.0,3086.0
670,,750.0,3122.0
671,,760.0,3189.0
684,,763.0,3318.0
689,,783.0,3344.0
697,,805.0,3426.0
698,,814.0,3442.0
711,,821.0,3457.0
715,,830.0,3487.0
725,,852.0,3524.0
731,,859.0,3577.0
736,,860.0,3652.0
737,,867.0,3674.0
742,,869.0,3680.0
749,,872.0,3696.0
753,,927.0,3707.0
759,,932.0,3711.0
761,,950.0,3760.0
773,,960.0,3794.0
777,,970.0,4060.0
778,,972.0,4154.0
787,,992.0,4173.0
788,,999.0,4179.0
797,,1003.0,4272.0
801,,1009.0,4299.0
811,,1013.0,4315.0
825,,1032.0,4362.0
850,,1044.0,4380.0
860,,1056.0,4396.0
871,,1060.0,4417.0
874,,1086.0,4420.0
906,,1091.0,4433.0
908,,1096.0,4458.0
911,,1104.0,4495.0
938,,1107.0,4601.0
944,,1120.0,4603.0
958,,1136.0,4638.0
960,,1140.0,4736.0
962,,1158.0,4836.0
964,,1176.0,4898.0
968,,1179.0,4933.0
989,,1185.0,5002.0
1002,,1189.0,5046.0
1004,,1190.0,5118.0
1005,,1226.0,5132.0
1016,,1244.0,5154.0
1020,,1252.0,5174.0
1023,,1257.0,5193.0
1028,,1258.0,5312.0
1035,,1279.0,5328.0
1040,,1291.0,5391.0
1044,,1296.0,5474.0
1046,,1301.0,5564.0
1048,,1307.0,5586.0
1049,,1335.0,5594.0
1057,,1343.0,5627.0
1060,,1351.0,5636.0
1074,,1359.0,5693.0
